***** AT90S4434-A
***** AT90S8535-A
37 (ADC0)PA0
36 (ADC1)PA1
35 (ADC2)PA2
34 (ADC3)PA3
33 (ADC4)PA4
32 (ADC5)PA5
31 (ADC6)PA6
30 (ADC7)PA7

40 (T0)PB0
41 (T1)PB1
42 (AIN0)PB2
43 (AIN1)PB3
44 (SS)PB4
1 (MOSI)PB5
2 (MISO)PB6
3 (SCK)PB7

7 XTAL2
8 XTAL1
---













---
19 PC0
20 PC1
21 PC2
22 PC3
23 PC4
24 PC5
25 (TOSC1)PC6
26 (TOSC2)PC7

9 (RXD)PD0
10 (TXD)PD1
11 (INT0)PD2
12 (INT1)PD3
13 (OC1B)PD4
14 (OC1A)PD5
15 (ICP)PD6
16 (OC2)PD7

4o RESET

28 AGND
29 AREF
27 AVCC
18 GND
6 GND
39 GND
17 VCC
38 VCC
5 VCC
***** AT90S4414-P
***** AT90S8515-P
39 (AD0)PA0
38 (AD1)PA1
37 (AD2)PA2
36 (AD3)PA3
35 (AD4)PA4
34 (AD5)PA5
33 (AD6)PA6
32 (AD7)PA7

10 (RXD)PD0
11 (TXD)PD1
12 (INT0)PD2
13 (INT1)PD3
14 PD4
15 (OC1A)PD5
16 (WR)PD6
17 (RD)PD7

29 OC1B
30 ALE
31 ICP

9o RESET
---












---
21 (A8)PC0
22 (A9)PC1
23 (A10)PC2
24 (A11)PC3
25 (A12)PC4
26 (A13)PC5
27 (A14)PC6
28 (A15)PC7

1 (T0)PB0
2 (T1)PB1
3 (AIN0)PB2
4 (AIN1)PB3
5 (SS)PB4
6 (MOSI)PB5
7 (MISO)PB6
8 (SCK)PB7

18 XTAL2
19 XTAL1

20 GND
40 VCC
***** AT89C2051-P
***** AT89C4051-P
12 (AIN0)P1.0
13 (AIN1)P1.1
14 P1.2
15 P1.3
16 P1.4
17 P1.5
18 P1.6
19 P1.7

4 XTAL2
5 XTAL1
---













---
2 (RXD)P3.0
